StanFunction;Arguments;ReturnType;Documentation;
rayleigh;~;real;Increment target log probability density with `rayleigh_lupdf(y | sigma)`.;
rayleigh_lpdf;(reals y | reals sigma);real;The log of the Rayleigh density of y given scale sigma\n;
rayleigh_lupdf;(reals y | reals sigma);real;The log of the Rayleigh density of y given scale sigma\ndropping constant additive terms\n;
rayleigh_cdf;(real y | real sigma);real;The Rayleigh cumulative distribution of y given scale sigma\n;
rayleigh_lcdf;(real y | real sigma);real;The log of the Rayleigh cumulative distribution of y given scale sigma\n;
rayleigh_lccdf;(real y | real sigma);real;The log of the Rayleigh complementary cumulative distribution of y\ngiven scale sigma\n;
rayleigh_rng;(reals sigma);R;Generate a Rayleigh variate with scale sigma may only be used in\ngenerated quantities block. For a description of argument and return\ntypes, see section [vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
loglogistic;~;real;{{< since 2.29 >}};
loglogistic_lpdf;(reals y | reals alpha, reals beta);real;The log of the log-logistic density of y given scale alpha and shape beta\n;
loglogistic_cdf;(reals y | reals alpha, reals beta);real;The log-logistic cumulative distribution function of y given scale alpha and shape beta\n;
loglogistic_rng;(reals mu, reals sigma);R;Generate a log-logistic variate with scale alpha and shape beta may only\nbe used in transformed data and generated quantities blocks.\nFor a description of argument and return types, see section\n[vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
von_mises;~;real;Increment target log probability density with `von_mises_lupdf(y | mu, kappa)`.;
von_mises_lpdf;(reals y | reals mu, reals kappa);real;The log of the von mises density of y given location mu and scale\nkappa.\n;
von_mises_lupdf;(reals y | reals mu, reals kappa);real;The log of the von mises density of y given location mu and scale\nkappa dropping constant additive terms.\n;
von_mises_cdf;(reals y | reals mu, reals kappa);real;The von mises cumulative distribution function of y given location mu and scale\nkappa.\n;
von_mises_lcdf;(reals y | reals mu, reals kappa);real;The log of the von mises cumulative distribution function of y given location mu and scale\nkappa.\n;
von_mises_lccdf;(reals y | reals mu, reals kappa);real;The log of the von mises complementary cumulative distribution function of y given location mu and scale\nkappa.\n;
von_mises_rng;(reals mu, reals kappa);R;Generate a Von Mises variate with location mu and scale kappa (i.e.\nreturns values in the interval $[(\mu \mod 2\pi)-\pi,(\mu \mod\n2\pi)+\pi]$) may only be used in transformed data and generated quantities\nblocks. For a description of argument and return types, see section\n[vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
operator+;(int x, int y);int;The sum of the addends x and y \begin{equation*} \text{operator+}(x,y) = (x + y) \end{equation*}\n;
operator-;(int x, int y);int;The difference between the minuend x and subtrahend y \begin{equation*}\n\text{operator-}(x,y) = (x - y) \end{equation*}\n;
operator*;(int x, int y);int;The product of the factors x and y \begin{equation*} \text{operator*}(x,y) = (x\n\times y) \end{equation*}\n;
operator/;(int x, int y);int;The integer quotient of the dividend x and divisor y \begin{equation*}\n\text{operator/}(x,y) = \begin{cases} \lfloor x / y \rfloor & \text{if\n} x / y \geq 0 \\ - \lfloor \text{floor}(-x / y) \rfloor & \text{if }\nx / y < 0. \end{cases} \end{equation*}\n**deprecated** - use `operator%/%` instead.\n;
operator%/%;(int x, int y);int;The integer quotient of the dividend x and divisor y \begin{equation*}\n\text{operator\%/\%}(x,y) = \begin{cases} \lfloor x / y \rfloor & \text{if\n} x / y \geq 0 \\ - \lfloor \text{floor}(-x / y) \rfloor & \text{if }\nx / y < 0. \end{cases} \end{equation*}\n;
operator%;(int x, int y);int;x modulo y, which is the positive remainder after dividing x by y. If\nboth x and y are non-negative, so is the result otherwise, the sign\nof the result is platform dependent. \begin{equation*} \mathrm{operator\%}(x, y) \ =\n\ x \ \text{mod} \ y \ = \ x - y * \lfloor x / y \rfloor \end{equation*}\n;
operator-;(int x);int;The negation of the subtrahend x \begin{equation*} \text{operator-}(x) = -x \end{equation*}\n;
operator-;(T x);T;Vectorized version of `operator-`. If `T x` is a (possibly nested) array of\nintegers, `-x` is the same shape array where each individual integer is negated.\n;
operator+;(int x);int;This is a no-op. \begin{equation*} \text{operator+}(x) = x \end{equation*}\n;
abs;(T x);T;The absolute value of x.\nThis function works elementwise over containers such as vectors.\nGiven a type `T` which is `int`, or an array of `int`s, `abs` returns the same\ntype where each element has had its absolute value taken.\n;
int_step;(int x);int;;
int_step;(real x);int;Return the step function of x as an integer, \begin{equation*} \mathrm{int\_step}(x)\n= \begin{cases} 1 & \text{if } x > 0 \\ 0 & \text{if } x \leq 0 \text{\nor } x \text{ is } NaN \end{cases} \end{equation*} _**Warning:**_ `int_step(0)` and\n`int_step(NaN)` return 0 whereas `step(0)` and `step(NaN)` return 1.\nSee the warning in section [step functions](real-valued_basic_functions.qmd#step-functions) about the dangers of\nstep functions applied to anything other than data.\n;
min;(int x, int y);int;Return the minimum of x and y. \begin{equation*} \text{min}(x, y) = \begin{cases} x &\n\text{if } x < y\\ y & \text{otherwise} \end{cases} \end{equation*}\n;
max;(int x, int y);int;Return the maximum of x and y. \begin{equation*} \text{max}(x, y) = \begin{cases} x &\n\text{if } x > y\\ y & \text{otherwise} \end{cases} \end{equation*}\n;
size;(int x);int;;
size;(real x);int;Return the size of `x` which for scalar-valued `x` is 1\n;
to_int;(data real x);int;The vectorized version of `to_int`. This function accepts a (possibly nested)\narray of reals and returns an array of the same shape where each element has\nbeen truncated to an integer.\n;
uniform;~;real;Increment target log probability density with `uniform_lupdf(y | alpha, beta)`.;
uniform_lpdf;(reals y | reals alpha, reals beta);real;The log of the uniform density of y given lower bound alpha and upper\nbound beta\n;
uniform_lupdf;(reals y | reals alpha, reals beta);real;The log of the uniform density of y given lower bound alpha and upper\nbound beta dropping constant additive terms\n;
uniform_cdf;(reals y | reals alpha, reals beta);real;The uniform cumulative distribution function of y given lower bound\nalpha and upper bound beta\n;
uniform_lcdf;(reals y | reals alpha, reals beta);real;The log of the uniform cumulative distribution function of y given\nlower bound alpha and upper bound beta\n;
uniform_lccdf;(reals y | reals alpha, reals beta);real;The log of the uniform complementary cumulative distribution function\nof y given lower bound alpha and upper bound beta\n;
uniform_rng;(reals alpha, reals beta);R;Generate a uniform variate with lower bound alpha and upper bound\nbeta may only be used in transformed data and generated quantities blocks. For a\ndescription of argument and return types, see section\n[vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
integrate_ode_rk45;(function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i);array[,] real;\index{{\tt \bfseries integrate\_ode\_rk45 }!{\tt (function ode, array[] real initial\_state, real initial\_time, array[] real times, array[] real theta, array[] real x\_r, array[] int x\_i): array[,] real}|hyperpage}\nSolves the ODE system for the times provided using the Dormand-Prince\nalgorithm, a 4th/5th order Runge-Kutta method.\n;
integrate_ode_rk45;(function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i, real rel_tol, real abs_tol, int max_num_steps);array[,] real;\index{{\tt \bfseries integrate\_ode\_rk45 }!{\tt (function ode, array[] real initial\_state, real initial\_time, array[] real times, array[] real theta, array[] real x\_r, array[] int x\_i, real rel\_tol, real abs\_tol, int max\_num\_steps): array[,] real}|hyperpage}\nSolves the ODE system for the times provided using the Dormand-Prince\nalgorithm, a 4th/5th order Runge-Kutta method with additional control\nparameters for the solver.\n;
integrate_ode;(function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i);array[,] real;\index{{\tt \bfseries integrate\_ode }!{\tt (function ode, array[] real initial\_state, real initial\_time, array[] real times, array[] real theta, array[] real x\_r, array[] int x\_i): array[,] real}|hyperpage}\nSolves the ODE system for the times provided using the Dormand-Prince\nalgorithm, a 4th/5th order Runge-Kutta method.\n;
integrate_ode_adams;(function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i);array[,] real;\index{{\tt \bfseries integrate\_ode\_adams }!{\tt (function ode, array[] real initial\_state, real initial\_time, array[] real times, array[] real theta, data array[] real x\_r, data array[] int x\_i): array[,] real}|hyperpage}\nSolves the ODE system for the times provided using the Adams-Moulton method.\n;
integrate_ode_adams;(function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i, real rel_tol, real abs_tol, int max_num_steps);array[,] real;\index{{\tt \bfseries integrate\_ode\_adams }!{\tt (function ode, array[] real initial\_state, real initial\_time, array[] real times, array[] real theta, data array[] real x\_r, data array[] int x\_i, data real rel\_tol, data real abs\_tol, data int max\_num\_steps): array[,] real}|hyperpage}\nSolves the ODE system for the times provided using the Adams-Moulton\nmethod with additional control parameters for the solver.\n;
integrate_ode_bdf;(function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i);array[,] real;\index{{\tt \bfseries integrate\_ode\_bdf }!{\tt (function ode, array[] real initial\_state, real initial\_time, array[] real times, array[] real theta, data array[] real x\_r, data array[] int x\_i): array[,] real}|hyperpage}\nSolves the ODE system for the times provided using the backward differentiation\nformula (BDF) method.\n;
integrate_ode_bdf;(function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i, real rel_tol, real abs_tol, int max_num_steps);array[,] real;\index{{\tt \bfseries integrate\_ode\_bdf }!{\tt (function ode, array[] real initial\_state, real initial\_time, array[] real times, array[] real theta, data array[] real x\_r, data array[] int x\_i, data real rel\_tol, data real abs\_tol, data int max\_num\_steps): array[,] real}|hyperpage}\nSolves the ODE system for the times provided using the backward differentiation\nformula (BDF) method with additional control parameters for the solver.\n;
algebra_solver;(function algebra_system, vector y_guess, vector theta, data array[] real x_r, array[] int x_i, data real rel_tol, data real f_tol, int max_steps);vector;Solves the algebraic system, given an initial guess, using the Powell\nhybrid algorithm with additional control parameters for the solver.\n*Note:* In future releases, the function `algebra_solver` will be deprecated\nand replaced with `algebra_solver_powell`.\n;
algebra_solver_newton;(function algebra_system, vector y_guess, vector theta, data array[] real x_r, array[] int x_i);vector;Solves the algebraic system, given an initial guess, using Newton's method.\n;
algebra_solver_newton;(function algebra_system, vector y_guess, vector theta, data array[] real x_r, array[] int x_i, data real rel_tol, data real f_tol, int max_steps);vector;Solves the algebraic system, given an initial guess, using Newton's method\nwith additional control parameters for the solver.\n;
hmm_marginal;(matrix log_omega, matrix Gamma, vector rho);real;Returns the log probability density of $y$, with $x_n$ integrated out at each iteration.\nThe arguments represent (1) the log density of each output, (2) the transition matrix, and (3) the initial state vector.\n*   *`log_omega`*: $\log \omega_{kn} = \log p(y_n \mid x_n = k, \phi)$, log density of each output,\n*   *`Gamma`*: $\Gamma_{ij} = p(x_n = j | x_{n - 1} = i, \phi)$, the transition matrix,\n*   *`rho`*: $\rho_k = p(x_0 = k \mid \phi)$, the initial state probability.\n;
hmm_latent_rng;(matrix log_omega, matrix Gamma, vector rho);array[] int;Returns a length $N$ array of integers over $\{1, ..., K\}$,\nsampled from the joint posterior distribution of the hidden states,\n$p(x \mid \phi, y)$.\nMay be only used in transformed data and generated quantities.\n;
hmm_hidden_state_prob;(matrix log_omega, matrix Gamma, vector rho);matrix;Returns the matrix of marginal posterior probabilities of each hidden state value. This will be a $K \times N$ matrix.\nThe $n^\mathrm{th}$ column is a simplex of probabilities for the $n^\mathrm{th}$ variable.\nMoreover, let $A$ be the output. Then\n$A_{ij} = p(x_j = i \mid \phi, y)$.\nThis function may only be used in transformed data and generated quantities.\n;
pi;();real;$\pi$, the ratio of a circle's circumference to its diameter\n;
e;();real;$e$, the base of the natural logarithm\n;
sqrt2;();real;The square root of 2\n;
log2;();real;The natural logarithm of 2\n;
log10;();real;The natural logarithm of 10\n;
not_a_number;();real;Not-a-number, a special non-finite real value returned to signal an\nerror\n;
positive_infinity;();real;Positive infinity, a special non-finite real value larger than all\nfinite numbers\n;
negative_infinity;();real;Negative infinity, a special non-finite real value smaller than all\nfinite numbers\n;
machine_precision;();real;The smallest number $x$ such that $(x + 1) \neq 1$ in floating-point\narithmetic on the current hardware platform\n;
target;();real;Return the current value of the log probability accumulator.\n`target` acts like a function ending in `_lp`, meaning that it may only may only\nbe used in the model block.\n;
operator<;(int x, int y);int;;
operator<;(real x, real y);int;Return 1 if x is less than y and 0 otherwise. \begin{equation*} \text{operator<}(x,y)\n= \begin{cases} 1 & \text{if $x < y$} \\ 0 & \text{otherwise}\n\end{cases} \end{equation*}\n;
operator<=;(int x, int y);int;;
operator<=;(real x, real y);int;Return 1 if x is less than or equal y and 0 otherwise.\n\begin{equation*}\n\text{operator<=}(x,y) = \begin{cases} 1 & \text{if $x \leq y$} \\ 0 & \text{otherwise} \end{cases}\n\end{equation*}\n;
operator>;(int x, int y);int;;
operator>;(real x, real y);int;Return 1 if x is greater than y and 0 otherwise.\n\begin{equation*}\n\text{operator>}(x,y) = \begin{cases} 1 & \text{if $x > y$} \\ 0 & \text{otherwise} \end{cases}\n\end{equation*}\n;
operator>=;(int x, int y);int;;
operator>=;(real x, real y);int;Return 1 if x is greater than or equal to y and 0 otherwise.\n\begin{equation*}\n\text{operator>=}(x,y) = \begin{cases} 1 & \text{if $x \geq y$} \\ 0 & \text{otherwise} \end{cases}\n\end{equation*}\n;
operator==;(int x, int y);int;;
operator==;(real x, real y);int;Return 1 if x is equal to y and 0 otherwise.\n\begin{equation*}\n\text{operator==}(x,y) = \begin{cases} 1 & \text{if $x = y$} \\ 0 & \text{otherwise} \end{cases}\n\end{equation*}\n;
operator!=;(int x, int y);int;;
operator!=;(real x, real y);int;Return 1 if x is not equal to y and 0 otherwise. \begin{equation*}\n\text{operator!=}(x,y) = \begin{cases} 1 & \text{if $x \neq y$} \\ 0 &\n\text{otherwise} \end{cases} \end{equation*}\n;
operator!;(int x);int;Return 1 if x is zero and 0 otherwise. \begin{equation*} \text{operator!}(x) =\n\begin{cases} 0 & \text{if $x \neq 0$} \\ 1 & \text{if $x = 0$}\n\end{cases} \end{equation*}\n;
operator!;(real x);int;Return 1 if x is zero and 0 otherwise. \begin{equation*} \text{operator!}(x) =\n\begin{cases} 0 & \text{if $x \neq 0.0$} \\ 1 & \text{if $x = 0.0$}\n\end{cases} \end{equation*}\n**deprecated** - use `operator==` instead.\n;
operator&&;(int x, int y);int;Return 1 if x is unequal to 0 and y is unequal to 0. \begin{equation*}\n\mathrm{operator\&\&}(x,y) = \begin{cases} 1 & \text{if $x \neq 0$}\n\text{ and } y \neq 0\\ 0 & \text{otherwise} \end{cases} \end{equation*}\n;
operator&&;(real x, real y);int;Return 1 if x is unequal to 0.0 and y is unequal to 0.0. \begin{equation*}\n\mathrm{operator\&\&}(x,y) = \begin{cases} 1 & \text{if $x \neq 0.0$}\n\text{ and } y \neq 0.0\\ 0 & \text{otherwise} \end{cases} \end{equation*}\n**deprecated**\n;
operator||;(int x, int y);int;Return 1 if x is unequal to 0 or y is unequal to 0. \begin{equation*}\n\text{operator||}(x,y) = \begin{cases} 1 & \text{if $x \neq 0$}\n\textrm{ or } y \neq 0\\ 0 & \text{otherwise} \end{cases} \end{equation*}\n;
operator||;(real x, real y);int;Return 1 if x is unequal to 0.0 or y is unequal to 0.0. \begin{equation*}\n\text{operator||}(x,y) = \begin{cases} 1 & \text{if $x \neq 0.0$}\n\textrm{ or } y \neq 0.0\\ 0 & \text{otherwise} \end{cases} \end{equation*}\n**deprecated**\n;
step;(real x);real;Return 1 if x is positive and 0 otherwise. \begin{equation*} \text{step}(x) =\n\begin{cases} 0 & \text{if } x < 0 \\ 1 & \text{otherwise} \end{cases}\n\end{equation*} _**Warning:**_ `int_step(0)` and `int_step(NaN)` return 0 whereas\n`step(0)` and `step(NaN)` return 1.\nThe step function is often used in BUGS to perform conditional\noperations.  For instance, `step(a-b)` evaluates to 1 if `a` is\ngreater than `b` and evaluates to 0 otherwise. `step` is a step-like\nfunctions see the warning in section [step functions](#step-functions) applied to\nexpressions dependent on parameters.\n;
is_inf;(real x);int;Return 1 if x is infinite (positive or negative) and 0 otherwise.\n;
is_nan;(real x);int;Return 1 if x is NaN and 0 otherwise.\nCare must be taken because both of these indicator functions are\nstep-like and thus can cause discontinuities in gradients when applied\nto parameters see section [step-like functions](#step-functions) for details.\n;
operator+;(real x, real y);real;Return the sum of x and y. \begin{equation*} (x + y) = \text{operator+}(x,y) = x+y \end{equation*}\n;
operator-;(real x, real y);real;Return the difference between x and y. \begin{equation*} (x - y) =\n\text{operator-}(x,y) = x - y \end{equation*}\n;
operator*;(real x, real y);real;Return the product of x and y. \begin{equation*} (x * y) = \text{operator*}(x,y) = xy\n\end{equation*}\n;
operator/;(real x, real y);real;Return the quotient of x and y. \begin{equation*} (x / y) = \text{operator/}(x,y) =\n\frac{x}{y} \end{equation*}\n;
operator^;(real x, real y);real;Return x raised to the power of y. \begin{equation*} (x^\mathrm{\wedge}y) =\n\text{operator}^\mathrm{\wedge}(x,y) = x^y \end{equation*}\n;
operator-;(real x);real;Return the negation of the subtrahend x. \begin{equation*} \text{operator-}(x) = (-x)\n\end{equation*}\n;
operator-;(T x);T;Vectorized version of `operator-`. If `T x` is a (possibly nested) array of\nreals, `-x` is the same shape array where each individual number is negated.\n;
operator+;(real x);real;Return the value of x. \begin{equation*} \text{operator+}(x) = x \end{equation*}\n;
abs;(T x);T;The absolute value of x.\nThis function works elementwise over containers such as vectors.\nGiven a type `T` which is `real` `vector`, `row_vector`, `matrix`, or an array\nof those types, `abs` returns the same type where each element has had its\nabsolute value taken.\n;
fdim;(real x, real y);real;Return the positive difference between x and y, which is x - y if x is\ngreater than y and 0 otherwise see warning above.\n\begin{equation*} \text{fdim}(x,y) = \begin{cases} x-y &\n\text{if } x \geq y \\ 0 & \text{otherwise} \end{cases} \end{equation*}\n;
fdim;(T1 x, T2 y);R;Vectorized implementation of the `fdim` function\n;
fmin;(real x, real y);real;Return the minimum of x and y see warning above.\n\begin{equation*} \text{fmin}(x,y) = \begin{cases} x &\n\text{if } x \leq y \\ y & \text{otherwise} \end{cases} \end{equation*}\n;
fmin;(T1 x, T2 y);R;Vectorized implementation of the `fmin` function\n;
fmax;(real x, real y);real;Return the maximum of x and y see warning above.\n\begin{equation*} \text{fmax}(x,y) = \begin{cases} x &\n\text{if } x \geq y \\ y & \text{otherwise} \end{cases} \end{equation*}\n;
fmax;(T1 x, T2 y);R;Vectorized implementation of the `fmax` function\n;
fmod;(real x, real y);real;Return the real value remainder after dividing x by y see warning above.\n\begin{equation*} \text{fmod}(x,y) = x - \left\lfloor \frac{x}{y} \right\rfloor \, y \end{equation*}\nThe operator $\lfloor u \rfloor$ is the floor operation see below.\n;
fmod;(T1 x, T2 y);R;Vectorized implementation of the `fmod` function\n;
floor;(T x);R;The floor of x, which is the largest integer less than or equal to x,\nconverted to a real value see warning at start of section\n[step-like functions](#step-functions)\n;
ceil;(T x);R;The ceiling of x, which is the smallest integer greater than or equal to\nx, converted to a real value see warning at start of section\n[step-like functions](#step-functions)\n;
round;(T x);R;The nearest integer to x, converted to a real value see warning at start\nof section [step-like functions](#step-functions)\n;
trunc;(T x);R;The integer nearest to but no larger in magnitude than x, converted to a\ndouble value see warning at start of section [step-like functions](#step-functions)\n;
sqrt;(T x);R;The square root of x\n;
cbrt;(T x);R;The cube root of x\n;
square;(T x);R;The square of x\n;
exp;(T x);R;The natural exponential of x\n;
exp2;(T x);R;The base-2 exponential of x\n;
log;(T x);R;The natural logarithm of x\n;
log2;(T x);R;The base-2 logarithm of x\n;
log10;(T x);R;The base-10 logarithm of x\n;
pow;(real x, real y);real;Return x raised to the power of y. \begin{equation*} \text{pow}(x,y) = x^y \end{equation*}\n;
pow;(T1 x, T2 y);R;Vectorized implementation of the `pow` function\n;
inv;(T x);R;The inverse of x\n;
inv_sqrt;(T x);R;The inverse of the square root of x\n;
inv_square;(T x);R;The inverse of the square of x\n;
hypot;(real x, real y);real;Return the length of the hypotenuse of a right triangle with sides of\nlength x and y. \begin{equation*} \text{hypot}(x,y) = \begin{cases} \sqrt{x^2+y^2} &\n\text{if } x,y\geq 0 \\ \textrm{NaN} & \text{otherwise} \end{cases} \end{equation*}\n;
hypot;(T1 x, T2 y);R;Vectorized implementation of the `hypot` function\n;
cos;(T x);R;The cosine of the angle x (in radians)\n;
sin;(T x);R;The sine of the angle x (in radians)\n;
tan;(T x);R;The tangent of the angle x (in radians)\n;
acos;(T x);R;The principal arc (inverse) cosine (in radians) of x\n;
asin;(T x);R;The principal arc (inverse) sine (in radians) of x\n;
atan;(T x);R;The principal arc (inverse) tangent (in radians) of x, with values from\n$-\pi/2$ to $\pi/2$\n;
atan2;(T y, T x);R;Return the principal arc (inverse) tangent (in radians) of y divided\nby x, \begin{equation*} \text{atan2}(y, x) = \arctan\left(\frac{y}{x}\right) \end{equation*}\n;
cosh;(T x);R;The hyperbolic cosine of x (in radians)\n;
sinh;(T x);R;The hyperbolic sine of x (in radians)\n;
tanh;(T x);R;The hyperbolic tangent of x (in radians)\n;
acosh;(T x);R;The inverse hyperbolic cosine (in radians)\n;
asinh;(T x);R;The inverse hyperbolic cosine (in radians)\n;
atanh;(T x);R;The inverse hyperbolic tangent (in radians) of x\n;
logit;(T x);R;The log odds, or logit, function applied to x\n;
inv_logit;(T x);R;The logistic sigmoid function applied to x\n;
inv_cloglog;(T x);R;The inverse of the complementary log-log function applied to x\n;
erf;(T x);R;The error function, also known as the Gauss error function, of x\n;
erfc;(T x);R;The complementary error function of x\n;
inv_erfc;(T x);R;The inverse of the complementary error function of x\n;
Phi;(T x);R;The standard normal cumulative distribution function of x\n;
inv_Phi;(T x);R;Return the value of the inverse standard normal cdf $\Phi^{-1}$ at the\nspecified quantile `x`. The details of the algorithm can be found in [@Wichura:1988].\nQuantile arguments below 1e-16 are untested quantiles above 0.999999999 result in increasingly large errors.\n;
Phi_approx;(T x);R;The fast approximation of the unit (may replace `Phi` for probit\nregression with maximum absolute error of 0.00014, see\n[@BowlingEtAl:2009] for details)\n;
binary_log_loss;(int y, real y_hat);real;Return the log loss function for for predicting $\hat{y} \in [0,1]$\nfor boolean outcome $y \in \{0,1\}$.\n\begin{equation*}\n\mathrm{binary\_log\_loss}(y,\hat{y}) = \begin{cases} -\log \hat{y} &\n \text{if } y = 1\\ -\log (1 - \hat{y}) & \text{otherwise} \end{cases}\n\end{equation*}\n;
binary_log_loss;(T1 x, T2 y);R;Vectorized implementation of the `binary_log_loss` function\n;
owens_t;(real h, real a);real;Return the Owen's T function for the probability of the event $X > h$\nand $0<Y<aX$ where X and Y are independent standard normal random\nvariables. \begin{equation*} \mathrm{owens\_t}(h,a) = \frac{1}{2\pi} \int_0^a\n\frac{\exp(-\frac{1}{2}h^2(1+x^2))}{1+x^2}dx \end{equation*}\n;
owens_t;(T1 x, T2 y);R;Vectorized implementation of the `owens_t` function\n;
beta;(real alpha, real beta);real;Return the beta function applied to alpha and beta. The beta function,\n$\text{B}(\alpha,\beta)$, computes the normalizing constant for the beta\ndistribution, and is defined for $\alpha > 0$ and $\beta > 0$. See section\n[appendix](mathematical_functions.qmd#beta-appendix) for definition of $\text{B}(\alpha, \beta)$.\n;
beta;(T1 x, T2 y);R;Vectorized implementation of the `beta` function\n;
inc_beta;(real alpha, real beta, real x);real;Return the regularized incomplete beta function up to x applied to alpha and beta.\nSee section [appendix](mathematical_functions.qmd#inc-beta-appendix) for a definition.\n;
inv_inc_beta;(real alpha, real beta, real p);real;Return the inverse of the regularized incomplete beta function. The return value\n`x` is the value that solves `p = inc_beta(alpha, beta, x)`.\nSee section [appendix](mathematical_functions.qmd#inc-beta-appendix) for a definition of the `inc_beta`.\n;
lbeta;(real alpha, real beta);real;Return the natural logarithm of the beta function applied to alpha and\nbeta. The beta function, $\text{B}(\alpha,\beta)$, computes the\nnormalizing constant for the beta distribution, and is defined for\n$\alpha > 0$ and $\beta > 0$.\n\begin{equation*}\n\text{lbeta}(\alpha,\beta) = \log \Gamma(a) + \log \Gamma(b) - \log \Gamma(a+b)\n\end{equation*}\nSee section [appendix](mathematical_functions.qmd#beta-appendix) for definition of $\text{B}(\alpha, \beta)$.\n;
lbeta;(T1 x, T2 y);R;Vectorized implementation of the `lbeta` function\n;
tgamma;(T x);R;The gamma function applied to x. The gamma function is the generalization\nof the factorial function to continuous variables, defined so that\n$\Gamma(n+1) = n!$. See for a full definition of $\Gamma(x)$. The\nfunction is defined for positive numbers and non-integral negative\nnumbers,\n;
lgamma;(T x);R;The natural logarithm of the gamma function applied to x,\n;
digamma;(T x);R;The digamma function applied to x. The digamma function is the derivative\nof the natural logarithm of the Gamma function. The function is\ndefined for positive numbers and non-integral negative numbers\n;
trigamma;(T x);R;The trigamma function applied to x. The trigamma function is the second\nderivative of the natural logarithm of the Gamma function\n;
lmgamma;(int n, real x);real;Return the natural logarithm of the multivariate gamma function\n$\Gamma_n$ with n dimensions applied to x.\n\begin{equation*}\n\text{lmgamma}(n,x) =\n \begin{cases} \frac{n(n-1)}{4} \log \pi + \sum_{j=1}^n \log \Gamma\left(x + \frac{1 - j}{2}\right)\n & \text{if } x\not\in \{\dots,-3,-2,-1,0\}\\ \textrm{error} & \text{otherwise} \end{cases}\n\end{equation*}\n;
lmgamma;(T1 x, T2 y);R;Vectorized implementation of the `lmgamma` function\n;
gamma_p;(real a, real z);real;Return the normalized lower incomplete gamma function of a and z\ndefined for positive a and nonnegative z.\n\begin{equation*}\n\mathrm{gamma\_p}(a,z) =\n\begin{cases} \frac{1}{\Gamma(a)}\int_0^zt^{a-1}e^{-t}dt &\n\text{if } a > 0, z \geq 0 \\ \textrm{error} & \text{otherwise} \end{cases}\n\end{equation*}\n;
gamma_p;(T1 x, T2 y);R;Vectorized implementation of the `gamma_p` function\n;
gamma_q;(real a, real z);real;Return the normalized upper incomplete gamma function of a and z\ndefined for positive a and nonnegative z.\n\begin{equation*}\n\mathrm{gamma\_q}(a,z) =\n \begin{cases} \frac{1}{\Gamma(a)}\int_z^\infty t^{a-1}e^{-t}dt &\n \text{if } a > 0, z \geq 0 \\[6pt] \textrm{error} & \text{otherwise}\n\end{cases}\n\end{equation*}\n;
gamma_q;(T1 x, T2 y);R;Vectorized implementation of the `gamma_q` function\n;
choose;(int x, int y);int;Return the binomial coefficient of x and y. For non-negative integer\ninputs, the binomial coefficient function is written as $\binom{x}{y}$\nand pronounced "x choose y." In its the antilog of the `lchoose`\nfunction but returns an integer rather than a real number with no\nnon-zero decimal places. For $0 \leq y \leq x$, the binomial\ncoefficient function can be defined via the factorial function\n\begin{equation*}\n\text{choose}(x,y) = \frac{x!}{\left(y!\right)\left(x - y\right)!}.\n\end{equation*}\n;
choose;(T1 x, T2 y);R;Vectorized implementation of the `choose` function\n;
bessel_first_kind;(int v, real x);real;Return the Bessel function of the first kind with order v applied to x.\n\begin{equation*}\n\mathrm{bessel\_first\_kind}(v,x) = J_v(x),\n\end{equation*}\nwhere\n\begin{equation*}\nJ_v(x)=\left(\frac{1}{2}x\right)^v \sum_{k=0}^\infty\n\frac{\left(-\frac{1}{4}x^2\right)^k}{k!\, \Gamma(v+k+1)}\n\end{equation*}\n;
bessel_first_kind;(T1 x, T2 y);R;Vectorized implementation of the `bessel_first_kind` function\n;
bessel_second_kind;(int v, real x);real;Return the Bessel function of the second kind with order v applied to\nx defined for positive x and v. For $x,v > 0$,\n\begin{equation*}\n\mathrm{bessel\_second\_kind}(v,x) =\n \begin{cases} Y_v(x) & \text{if } x > 0 \\ \textrm{error} & \text{otherwise} \end{cases}\n\end{equation*}\nwhere\n\begin{equation*}\nY_v(x)=\frac{J_v(x)\cos(v\pi)-J_{-v}(x)}{\sin(v\pi)}\n\end{equation*}\n;
bessel_second_kind;(T1 x, T2 y);R;Vectorized implementation of the `bessel_second_kind` function\n;
